ID; Aktywny (0/1); Nazwa; Kategoria (x,y,z...);Cena zawiera podatek. (brutto); ID reguły podatku; W sprzedaży (0 lub 1); Widoczność (0/1); Ilość; Opis; Podsumowanie; Adresy URL zdjęcia (x,y,z...); Kod dostawcy;
220; 1; Ekspresowe tworzenie stron z Bootstrap & LESS; Bootstrap; 89; 1; 1; 1; 500; Poznaj zaawansowane aspekty Bootstrap i twórz jeszcze lepsze strony w jeszcze krótszym czasie; Poznaj zaawansowane aspekty Bootstrap i twórz jeszcze lepsze strony w jeszcze krótszym czasie; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Ekspresowe-tworzenie-stron-z-Bootstrap-LESS.jpg; 1,2; 0
221; 1; Kurs Bootstrap 3 - responsywne strony; Bootstrap; 60; 1; 1; 1; 500; Twórz nowoczesne responsywne strony z frameworkiem Bootstrap; Twórz nowoczesne responsywne strony z frameworkiem Bootstrap; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Bootstrap-3-responsywne-strony.jpg; 1,2; 0
222; 1; Kurs Ruby on Rails - tworzenie aplikacji; Bootstrap; 90; 1; 1; 1; 500; Poznaj bardzo popularny framework do szybkiego tworzenia dynamicznych webowych aplikacji; Poznaj bardzo popularny framework do szybkiego tworzenia dynamicznych webowych aplikacji; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Ruby-on-Rails-tworzenie-aplikacji.jpg; 1,2; 0
223; 1; Kurs jQuery - zaawansowany; jQuery, JSON; 69; 1; 1; 1; 500; Poznaj zaawansowane możliwości popularnej biblioteki jQuery.; Poznaj zaawansowane możliwości popularnej biblioteki jQuery.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-jQuery-zaawansowany.jpg; 1,2; 0
224; 1; Kurs Programowania w jQuery; jQuery; 49; 1; 1; 1; 500; Poznaj najpopularniejszą i niezwykle użyteczną bibliotekę JavaScript; Poznaj najpopularniejszą i niezwykle użyteczną bibliotekę JavaScript; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Programowania-w-jQuery.jpg; 1,2; 0
225; 1; ASP.NET Core - budowa aplikacji; Docker, Csharp, ASP.NET; 89; 1; 1; 1; 500; Poznaj ASP.NET od podstaw i stwórz kompletną aplikację RESTful API; Poznaj ASP.NET od podstaw i stwórz kompletną aplikację RESTful API; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/asp_net_core_-_budowa_aplikacji.jpg; 1,2; 0
226; 1; Kurs Csharp - programowanie obiektowe; Csharp; 119; 1; 1; 1; 500; Naucz się używać klas, interfejsów, komponentów i rozwiązywać problemy za pomocą programowania obiektowego; Naucz się używać klas, interfejsów, komponentów i rozwiązywać problemy za pomocą programowania obiektowego; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_csharp_programowanie_obiektowe.jpg; 1,2; 0
227; 1; Kurs Csharp - typy generyczne; Csharp; 119; 1; 1; 1; 500; Dowiedz się jak tworzyć bezpieczne i wydajne struktury danych za pomocą typów generycznych; Dowiedz się jak tworzyć bezpieczne i wydajne struktury danych za pomocą typów generycznych; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_csharp_typy_generyczne.jpg; 1,2; 0
228; 1; Fundamenty programowania w języku Csharp; Csharp; 99; 1; 1; 1; 500; Opanuj podstawy języka Csharp i zacznij programować pierwszej aplikacje jeszcze dziś!; Opanuj podstawy języka Csharp i zacznij programować pierwszej aplikacje jeszcze dziś!; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/fundamenty_programowania_csharp.jpg; 1,2; 0
229; 1; Kurs programowanie dla dzieci; Scratch; 69; 1; 1; 1; 500; Jak sprawić, aby programowanie było dla Twojego dziecka pożyteczną zabawą; Jak sprawić, aby programowanie było dla Twojego dziecka pożyteczną zabawą; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-programowanie-dla-dzieci.jpg; 1,2; 0
